機種名,幅,奥行,高さ,機種記号
ZQH-8W8-Rt-A-INV,1100,1500,2000,A
ZQH-16W8-Rt-A-INV,1900,1500,2000,B
ZQH-24W8-Rt-A-INV,2700,1500,2000,C
ZQH-32W8-Rt-A-INV,3800,1500,2000,D
ZQH-40W8-Rt-A-INV,4600,1500,2000,E
ZQH-48W8-Rt-A-INV,5400,1500,2000,F
ZQH-56W8-Rt-A-INV,6200,1500,2000,G
ZQH-64W8-Rt-A-INV,7000,1500,2000,H
ZQH-10W10-Rt-A-INV,1100,1500,2000,I
ZQH-20W10-Rt-A-INV,1900,1500,2000,J
ZQH-30W10-Rt-A-INV,2700,1500,2000,K
ZQH-40W10-Rt-A-INV,3800,1500,2000,L
ZQH-50W10-Rt-A-INV,4600,1500,2000,M
ZQH-60W10-Rt-A-INV,5400,1500,2000,N
ZQH-70W10-Rt-A-INV,6200,1500,2000,O
ZQH-80W10-Rt-A-INV,7000,1500,2000,P
ZQH-12.5W12.5-Rt-A-INV,1100,1500,2000,Q
ZQH-25W12.5-Rt-A-INV,1900,1500,2000,R
ZQH-37.5W12.5-Rt-A-INV,2700,1500,2000,S
ZQH-50W12.5-Rt-A-INV,3800,1500,2000,T
ZQH-62.5W12.5-Rt-A-INV,4600,1500,2000,U
ZQH-75W12.5-Rt-A-INV,5400,1500,2000,V
ZQH-87.5W12.5-Rt-A-INV,6200,1500,2000,W
ZQH-100W12.5-Rt-A-INV,7000,1500,2000,X
ZQH-15W15-Rt-A-INV,1100,1500,2000,Y
ZQH-30W15-Rt-A-INV,1900,1500,2000,Z
ZQH-45W15-Rt-A-INV,2700,1500,2000,AA
ZQH-60W15-Rt-A-INV,3800,1500,2000,AB
ZQH-75W15-Rt-A-INV,4600,1500,2000,AC
ZQH-90W15-Rt-A-INV,5400,1500,2000,AD
ZQH-105W15-Rt-A-INV,6200,1500,2000,AE
ZQH-120W15-Rt-A-INV,7000,1500,2000,AF
ZQH-12.5W12.5-Rt-C-INV,1100,1500,2000,AG
ZQH-25W12.5-Rt-C-INV,1900,1500,2000,AH
ZQH-37.5W12.5-Rt-C-INV,2700,1500,2000,AI
ZQH-50W12.5-Rt-C-INV,3800,1500,2000,AJ
ZQH-62.5W12.5-Rt-C-INV,4600,1500,2000,AK
ZQH-75W12.5-Rt-C-INV,5400,1500,2000,AL
ZQH-87.5W12.5-Rt-C-INV,6200,1500,2000,AM
ZQH-100W12.5-Rt-C-INV,7000,1500,2000,AN
ZQH-15W15-Rt-C-INV,1100,1500,2000,AO
